EntryTime,ExitTime,Type,Strike,EntryPremium,ExitPremium,Contracts,Status,PnL,PnL%,Balance,Delta,Gamma,Theta
2025-10-31 13:45:00+00:00,2025-10-31 14:30:00+00:00,put,245,0.76,0.57,18,Loss_Trail,-344.34,-25.19,6647.67,-0.36,0.1235,-0.4
2025-10-31 14:30:00+00:00,2025-10-31 17:30:00+00:00,put,246,0.95,1.69,14,Win_Trail,1045.84,78.96,7693.5,-0.44,0.1382,-0.45
2025-10-31 18:00:00+00:00,2025-10-31 19:45:00+00:00,call,246,0.42,0.4,36,EOD_Expire,-80.23,-5.25,7613.28,0.36,0.2189,-0.73
2025-11-03 14:30:00+00:00,2025-11-03 14:45:00+00:00,put,243,0.62,0.38,24,Loss_Trail,-580.2,-38.73,7033.08,-0.33,0.1284,-0.41
2025-11-03 14:45:00+00:00,2025-11-03 15:30:00+00:00,put,244,0.68,1.18,20,Win_Trail,991.46,72.81,8024.54,-0.36,0.1347,-0.43
2025-11-03 16:00:00+00:00,2025-11-03 18:00:00+00:00,call,245,0.66,0.62,24,Loss_Trail,-100.49,-6.33,7924.05,0.39,0.159,-0.53
2025-11-04 14:30:00+00:00,2025-11-04 14:45:00+00:00,put,242,0.76,0.44,20,Loss_SL,-647.4,-42.63,7276.65,-0.38,0.1357,-0.43
2025-11-04 14:45:00+00:00,2025-11-04 15:15:00+00:00,put,243,0.76,0.66,19,Loss_Trail,-195.26,-13.47,7081.39,-0.39,0.139,-0.44
2025-11-04 16:00:00+00:00,2025-11-04 16:30:00+00:00,put,242,0.56,0.42,25,Loss_Trail,-355.93,-25.44,6725.46,-0.35,0.1537,-0.49
2025-11-04 16:30:00+00:00,2025-11-04 16:45:00+00:00,put,242,0.42,0.31,32,Loss_Trail,-345.21,-25.85,6380.25,-0.29,0.1531,-0.49
2025-11-04 16:45:00+00:00,2025-11-04 19:00:00+00:00,put,243,0.63,1.03,20,Win_Trail,792.36,62.63,7172.61,-0.4,0.1787,-0.57
2025-11-04 19:00:00+00:00,2025-11-04 19:15:00+00:00,put,241,0.11,0.06,100,Loss_SL,-453.8,-41.69,6718.81,-0.17,0.2114,-0.67
2025-11-04 19:15:00+00:00,2025-11-04 19:45:00+00:00,put,241,0.06,0.05,100,EOD_Expire,-184.33,-29.04,6534.48,-0.12,0.1969,-0.63
2025-11-05 14:30:00+00:00,2025-11-05 15:00:00+00:00,call,242,1.01,1.31,12,Win_Trail,353.78,29.05,6888.27,0.47,0.142,-0.47
2025-11-05 16:00:00+00:00,2025-11-05 19:45:00+00:00,call,243,0.8,2.21,17,EOD_Expire,2396.21,175.72,9284.47,0.45,0.1649,-0.55
2025-11-06 14:30:00+00:00,2025-11-06 15:15:00+00:00,put,243,0.83,1.01,22,Win_Trail,396.34,21.68,9680.82,-0.41,0.1375,-0.43
2025-11-06 16:00:00+00:00,2025-11-06 17:30:00+00:00,put,240,0.47,0.38,41,Loss_Trail,-352.86,-18.27,9327.96,-0.31,0.1474,-0.46
2025-11-06 18:00:00+00:00,2025-11-06 18:45:00+00:00,call,241,0.46,0.74,40,Win_Trail,1105.18,60.12,10433.14,0.39,0.2282,-0.73
2025-11-06 18:45:00+00:00,2025-11-06 19:00:00+00:00,put,241,0.37,0.18,56,Loss_SL,-1065.12,-51.74,9368.02,-0.39,0.2877,-0.91
2025-11-06 19:00:00+00:00,2025-11-06 19:15:00+00:00,put,241,0.18,0.09,100,Loss_SL,-858.59,-48.39,8509.43,-0.25,0.2652,-0.84
2025-11-06 19:15:00+00:00,2025-11-06 19:45:00+00:00,put,241,0.09,0.05,100,EOD_Expire,-378.79,-41.37,8130.64,-0.17,0.2407,-0.77
2025-11-07 14:30:00+00:00,2025-11-07 14:45:00+00:00,put,238,0.88,0.57,18,Loss_Trail,-555.35,-35.07,7575.29,-0.43,0.1421,-0.43
2025-11-07 14:45:00+00:00,2025-11-07 17:15:00+00:00,put,238,0.57,0.98,26,Win_Trail,1071.65,72.17,8646.94,-0.32,0.1324,-0.41
2025-11-07 18:00:00+00:00,2025-11-07 19:45:00+00:00,call,239,0.5,2.46,34,EOD_Expire,6675.13,393.93,15322.07,0.41,0.2337,-0.74
2025-11-10 14:30:00+00:00,2025-11-10 16:00:00+00:00,put,244,0.78,1.47,39,Win_Trail,2660.53,87.06,17982.6,-0.39,0.1352,-0.43
2025-11-10 16:00:00+00:00,2025-11-10 18:45:00+00:00,call,244,0.58,0.82,61,Win_Trail,1432.58,40.31,19415.18,0.36,0.1555,-0.51
2025-11-11 14:30:00+00:00,2025-11-11 15:00:00+00:00,call,243,1.01,1.11,38,Win_Trail,391.39,10.25,19806.58,0.47,0.1414,-0.47
2025-11-11 16:00:00+00:00,2025-11-11 19:00:00+00:00,call,244,0.58,0.74,68,Win_Trail,1101.71,28.16,20908.29,0.36,0.1551,-0.51
2025-11-12 14:30:00+00:00,2025-11-12 16:30:00+00:00,put,245,0.71,1.38,58,Win_Trail,3917.79,95.28,24826.07,-0.36,0.1315,-0.42
2025-11-12 16:45:00+00:00,2025-11-12 17:15:00+00:00,call,245,0.48,0.36,100,Loss_Trail,-1222.53,-25.33,23603.54,0.34,0.1679,-0.56
2025-11-12 18:00:00+00:00,2025-11-12 18:30:00+00:00,put,244,0.45,0.49,100,Win_Trail,373.65,8.25,23977.19,-0.38,0.2227,-0.72
2025-11-12 18:30:00+00:00,2025-11-12 18:45:00+00:00,put,243,0.17,0.11,100,Loss_Trail,-590.07,-34.54,23387.11,-0.21,0.1923,-0.62
2025-11-12 18:45:00+00:00,2025-11-12 19:30:00+00:00,put,244,0.38,0.35,100,Loss_Trail,-333.18,-8.73,23053.94,-0.4,0.2856,-0.92
2025-11-13 14:30:00+00:00,2025-11-13 15:00:00+00:00,put,240,0.63,0.43,72,Loss_Trail,-1465.06,-32.21,21588.88,-0.34,0.1309,-0.41
2025-11-13 16:00:00+00:00,2025-11-13 19:15:00+00:00,put,239,0.65,1.41,66,Win_Trail,5017.45,117.39,26606.32,-0.39,0.1617,-0.5
2025-11-13 19:15:00+00:00,2025-11-13 19:45:00+00:00,put,237,0.16,0.43,100,EOD_Expire,2690.5,163.65,29296.82,-0.27,0.3222,-0.99
2025-11-14 14:30:00+00:00,2025-11-14 15:00:00+00:00,call,236,0.72,0.74,81,Win_Trail,166.68,2.85,29463.5,0.38,0.14,-0.44
2025-11-14 16:00:00+00:00,2025-11-14 17:30:00+00:00,call,238,0.57,0.82,100,Win_Trail,2465.63,43.18,31929.14,0.36,0.1596,-0.5
2025-11-14 18:00:00+00:00,2025-11-14 18:45:00+00:00,put,237,0.24,0.23,100,Loss_Trail,-92.22,-3.89,31836.92,-0.24,0.1871,-0.57
2025-11-14 18:45:00+00:00,2025-11-14 19:15:00+00:00,put,237,0.23,0.09,100,Loss_SL,-1412.69,-62.02,30424.23,-0.28,0.256,-0.78
2025-11-14 19:15:00+00:00,2025-11-14 19:30:00+00:00,put,237,0.09,0.05,100,Loss_Trail,-323.13,-37.35,30101.1,-0.16,0.2397,-0.74
2025-11-17 14:30:00+00:00,2025-11-17 14:45:00+00:00,put,236,0.65,0.51,92,Loss_Trail,-1307.92,-21.78,28793.18,-0.35,0.1349,-0.4
2025-11-17 14:45:00+00:00,2025-11-17 16:15:00+00:00,put,237,0.88,1.26,65,Win_Trail,2478.96,43.27,31272.13,-0.44,0.1466,-0.44
2025-11-17 16:15:00+00:00,2025-11-17 16:45:00+00:00,put,236,0.74,0.47,85,Loss_Trail,-2294.72,-36.71,28977.41,-0.44,0.1741,-0.52
2025-11-17 16:45:00+00:00,2025-11-17 19:30:00+00:00,put,236,0.47,2.97,100,Win_TP_Moon,25013.04,537.35,53990.45,-0.33,0.1722,-0.52
2025-11-18 14:30:00+00:00,2025-11-18 14:45:00+00:00,call,233,0.72,0.54,100,Loss_Trail,-1809.86,-25.26,52180.59,0.38,0.1419,-0.43
2025-11-18 14:45:00+00:00,2025-11-18 15:45:00+00:00,call,232,0.92,0.68,100,Loss_Trail,-2365.72,-25.73,49814.86,0.46,0.1514,-0.46
2025-11-18 16:00:00+00:00,2025-11-18 17:00:00+00:00,call,233,0.6,0.67,100,Win_Trail,631.07,10.45,50445.94,0.38,0.1659,-0.5
2025-11-18 18:15:00+00:00,2025-11-18 18:45:00+00:00,call,235,0.36,0.23,100,Loss_Trail,-1237.57,-34.84,49208.36,0.35,0.241,-0.74
2025-11-18 18:45:00+00:00,2025-11-18 19:15:00+00:00,call,235,0.23,0.09,100,Loss_SL,-1415.94,-61.17,47792.43,0.29,0.2632,-0.8
2025-11-18 19:15:00+00:00,2025-11-18 19:45:00+00:00,call,235,0.09,0.07,100,EOD_Expire,-231.61,-25.76,47560.82,0.17,0.2514,-0.76
2025-11-19 14:30:00+00:00,2025-11-19 15:15:00+00:00,call,235,0.68,1.07,100,Win_Trail,3878.95,56.76,51439.77,0.37,0.1391,-0.43
2025-11-19 16:00:00+00:00,2025-11-19 16:30:00+00:00,call,235,0.47,0.33,100,Loss_Trail,-1348.62,-28.76,50091.15,0.32,0.1538,-0.47
2025-11-19 16:30:00+00:00,2025-11-19 17:00:00+00:00,call,234,0.67,0.45,100,Loss_Trail,-2194.16,-32.77,47896.99,0.43,0.1815,-0.55
2025-11-19 18:00:00+00:00,2025-11-19 18:45:00+00:00,put,233,0.29,0.19,100,Loss_Trail,-993.07,-34.14,46903.92,-0.28,0.2076,-0.61
2025-11-19 18:45:00+00:00,2025-11-19 19:45:00+00:00,put,233,0.19,0.15,100,EOD_Expire,-412.87,-21.55,46491.05,-0.25,0.2451,-0.73
2025-11-20 14:30:00+00:00,2025-11-20 14:45:00+00:00,put,237,0.83,0.51,100,Loss_Trail,-3215.58,-38.6,43275.47,-0.41,0.1416,-0.43
2025-11-20 14:45:00+00:00,2025-11-20 15:15:00+00:00,put,238,0.88,0.6,98,Loss_Trail,-2781.93,-32.21,40493.53,-0.44,0.1459,-0.44
2025-11-20 16:00:00+00:00,2025-11-20 17:30:00+00:00,put,236,0.81,4.89,99,Win_TP_Moon,40320.5,500.9,80814.04,-0.46,0.1698,-0.51
2025-11-20 18:00:00+00:00,2025-11-20 18:15:00+00:00,call,234,0.43,0.11,100,Loss_SL,-3224.93,-74.47,77589.11,0.38,0.2337,-0.71
2025-11-20 18:15:00+00:00,2025-11-20 18:30:00+00:00,call,233,0.34,0.08,100,Loss_SL,-2657.84,-77.75,74931.26,0.34,0.2411,-0.72
2025-11-20 18:30:00+00:00,2025-11-20 19:15:00+00:00,put,231,0.43,0.3,100,Loss_Trail,-1287.8,-30.28,73643.46,-0.42,0.2788,-0.81
2025-11-20 19:15:00+00:00,2025-11-20 19:45:00+00:00,put,231,0.3,0.04,100,EOD_Expire,-2548.58,-85.97,71094.88,-0.41,0.3936,-1.14
2025-11-21 14:30:00+00:00,2025-11-21 15:15:00+00:00,call,231,0.73,0.69,100,Loss_Trail,-429.44,-5.88,70665.44,0.39,0.1439,-0.43
2025-11-21 16:00:00+00:00,2025-11-21 18:00:00+00:00,call,232,0.77,2.72,100,Win_Trail,19516.9,253.52,90182.34,0.45,0.1728,-0.52
2025-11-21 18:00:00+00:00,2025-11-21 19:45:00+00:00,call,235,0.51,1.29,100,EOD_Expire,7838.32,153.55,98020.66,0.43,0.239,-0.73
2025-11-24 14:30:00+00:00,2025-11-24 19:45:00+00:00,call,237,0.72,2.24,100,EOD_Expire,15224.65,211.7,113245.31,0.38,0.1391,-0.44
2025-11-25 14:30:00+00:00,2025-11-25 15:00:00+00:00,call,242,0.69,1.03,100,Win_Trail,3405.14,49.14,116650.46,0.36,0.1346,-0.44
2025-11-25 16:00:00+00:00,2025-11-25 18:30:00+00:00,call,244,0.6,0.75,100,Win_Trail,1538.55,25.61,118189.0,0.37,0.1566,-0.52
